DateTime, Sensor, Temperature (Celcius)
2017-04-26 00:00:00 +0800, MAX6675, 26.159090
2017-04-26 00:00:24 +0800, MAX6675, 26.000000
2017-04-26 00:00:49 +0800, MAX6675, 26.000000
2017-04-26 00:01:13 +0800, MAX6675, 26.022728
2017-04-26 00:01:38 +0800, MAX6675, 26.250000
2017-04-26 00:02:02 +0800, MAX6675, 26.159090
2017-04-26 00:02:26 +0800, MAX6675, 26.068182
2017-04-26 00:02:51 +0800, MAX6675, 26.113636
2017-04-26 00:03:15 +0800, MAX6675, 26.204546
2017-04-26 00:03:40 +0800, MAX6675, 26.159090
2017-04-26 00:04:04 +0800, MAX6675, 26.113636
2017-04-26 00:04:29 +0800, MAX6675, 26.045454
2017-04-26 00:04:53 +0800, MAX6675, 26.090910
2017-04-26 00:05:18 +0800, MAX6675, 26.227272
2017-04-26 00:05:42 +0800, MAX6675, 26.227272
2017-04-26 00:06:07 +0800, MAX6675, 26.159090
2017-04-26 00:06:31 +0800, MAX6675, 26.181818
2017-04-26 00:06:56 +0800, MAX6675, 26.227272
2017-04-26 00:07:20 +0800, MAX6675, 26.000000
2017-04-26 00:07:45 +0800, MAX6675, 26.295454
2017-04-26 00:08:09 +0800, MAX6675, 26.204546
2017-04-26 00:08:34 +0800, MAX6675, 26.181818
2017-04-26 00:08:58 +0800, MAX6675, 26.113636
2017-04-26 00:09:23 +0800, MAX6675, 26.045454
2017-04-26 00:09:47 +0800, MAX6675, 26.181818
2017-04-26 00:10:12 +0800, MAX6675, 26.295454
2017-04-26 00:10:36 +0800, MAX6675, 26.136364
2017-04-26 00:11:01 +0800, MAX6675, 26.045454
2017-04-26 00:11:25 +0800, MAX6675, 26.045454
2017-04-26 00:11:50 +0800, MAX6675, 26.113636
2017-04-26 00:12:14 +0800, MAX6675, 26.113636
2017-04-26 00:12:39 +0800, MAX6675, 26.181818
2017-04-26 00:13:03 +0800, MAX6675, 26.204546
2017-04-26 00:13:28 +0800, MAX6675, 26.090910
2017-04-26 00:13:52 +0800, MAX6675, 26.045454
2017-04-26 00:14:17 +0800, MAX6675, 26.113636
2017-04-26 00:14:41 +0800, MAX6675, 26.181818
2017-04-26 00:15:05 +0800, MAX6675, 26.272728
2017-04-26 00:15:30 +0800, MAX6675, 26.204546
