DateTime, Sensor, Temperature (Celcius)
2017-08-07 00:00:03 +0800, MAX6675, 30.750000
2017-08-07 00:00:27 +0800, MAX6675, 30.681818
2017-08-07 00:00:52 +0800, MAX6675, 30.818182
2017-08-07 00:01:16 +0800, MAX6675, 30.909090
2017-08-07 00:01:41 +0800, MAX6675, 30.681818
2017-08-07 00:02:05 +0800, MAX6675, 30.772728
2017-08-07 00:02:30 +0800, MAX6675, 30.772728
2017-08-07 00:02:54 +0800, MAX6675, 30.931818
2017-08-07 00:03:19 +0800, MAX6675, 30.772728
2017-08-07 00:03:43 +0800, MAX6675, 30.863636
2017-08-07 00:04:08 +0800, MAX6675, 30.840910
2017-08-07 00:04:32 +0800, MAX6675, 30.681818
2017-08-07 00:04:57 +0800, MAX6675, 30.772728
2017-08-07 00:05:21 +0800, MAX6675, 30.772728
2017-08-07 00:05:46 +0800, MAX6675, 30.840910
2017-08-07 00:06:10 +0800, MAX6675, 30.795454
2017-08-07 00:06:34 +0800, MAX6675, 30.909090
2017-08-07 00:06:59 +0800, MAX6675, 30.727272
2017-08-07 00:07:23 +0800, MAX6675, 30.931818
2017-08-07 00:07:48 +0800, MAX6675, 30.931818
2017-08-07 00:08:12 +0800, MAX6675, 30.931818
2017-08-07 00:08:37 +0800, MAX6675, 30.818182
2017-08-07 00:09:01 +0800, MAX6675, 30.727272
2017-08-07 00:09:26 +0800, MAX6675, 30.681818
2017-08-07 00:09:50 +0800, MAX6675, 30.818182
2017-08-07 00:10:15 +0800, MAX6675, 30.750000
2017-08-07 00:10:39 +0800, MAX6675, 30.909090
2017-08-07 00:11:04 +0800, MAX6675, 30.954546
2017-08-07 00:11:28 +0800, MAX6675, 31.045454
2017-08-07 00:11:53 +0800, MAX6675, 30.818182
2017-08-07 00:12:17 +0800, MAX6675, 30.840910
2017-08-07 00:12:42 +0800, MAX6675, 30.727272
2017-08-07 00:13:06 +0800, MAX6675, 30.886364
2017-08-07 00:13:31 +0800, MAX6675, 30.977272
2017-08-07 00:13:55 +0800, MAX6675, 30.818182
2017-08-07 00:14:20 +0800, MAX6675, 30.909090
2017-08-07 00:14:44 +0800, MAX6675, 30.977272
2017-08-07 00:15:09 +0800, MAX6675, 30.909090
2017-08-07 00:15:33 +0800, MAX6675, 30.909090
2017-08-07 00:15:58 +0800, MAX6675, 30.931818
2017-08-07 00:16:22 +0800, MAX6675, 30.818182
2017-08-07 00:16:47 +0800, MAX6675, 30.863636
2017-08-07 00:17:11 +0800, MAX6675, 30.977272
2017-08-07 00:17:36 +0800, MAX6675, 30.909090
2017-08-07 00:18:00 +0800, MAX6675, 30.750000
2017-08-07 00:18:25 +0800, MAX6675, 30.977272
2017-08-07 00:18:49 +0800, MAX6675, 30.772728
2017-08-07 00:19:13 +0800, MAX6675, 30.795454
2017-08-07 00:19:38 +0800, MAX6675, 30.909090
2017-08-07 00:20:02 +0800, MAX6675, 30.931818
2017-08-07 00:20:27 +0800, MAX6675, 30.954546
2017-08-07 00:20:51 +0800, MAX6675, 30.931818
2017-08-07 00:21:16 +0800, MAX6675, 31.045454
2017-08-07 00:21:40 +0800, MAX6675, 31.000000
2017-08-07 00:22:05 +0800, MAX6675, 30.931818
2017-08-07 00:22:29 +0800, MAX6675, 30.977272
2017-08-07 00:22:54 +0800, MAX6675, 30.977272
2017-08-07 00:23:18 +0800, MAX6675, 30.840910
2017-08-07 00:23:43 +0800, MAX6675, 30.886364
2017-08-07 00:24:07 +0800, MAX6675, 30.818182
2017-08-07 00:24:32 +0800, MAX6675, 30.954546
2017-08-07 00:24:56 +0800, MAX6675, 30.863636
2017-08-07 00:25:21 +0800, MAX6675, 30.863636
2017-08-07 00:25:45 +0800, MAX6675, 31.000000
2017-08-07 00:26:10 +0800, MAX6675, 30.863636
2017-08-07 00:26:34 +0800, MAX6675, 30.863636
2017-08-07 00:26:59 +0800, MAX6675, 31.045454
2017-08-07 00:27:23 +0800, MAX6675, 30.954546
2017-08-07 00:27:48 +0800, MAX6675, 30.750000
2017-08-07 00:28:12 +0800, MAX6675, 30.977272
2017-08-07 00:28:37 +0800, MAX6675, 30.863636
2017-08-07 00:29:01 +0800, MAX6675, 30.818182
2017-08-07 00:29:26 +0800, MAX6675, 31.000000
2017-08-07 00:29:50 +0800, MAX6675, 30.954546
2017-08-07 00:30:15 +0800, MAX6675, 30.909090
2017-08-07 00:30:39 +0800, MAX6675, 31.045454
