DateTime, Sensor, Temperature (Celcius)
2017-09-20 00:00:18 +0800, MAX6675, 30.090910
2017-09-20 00:00:43 +0800, MAX6675, 30.136364
2017-09-20 00:01:07 +0800, MAX6675, 30.204546
2017-09-20 00:01:32 +0800, MAX6675, 30.250000
2017-09-20 00:01:56 +0800, MAX6675, 29.977272
2017-09-20 00:02:21 +0800, MAX6675, 30.113636
2017-09-20 00:02:45 +0800, MAX6675, 30.227272
2017-09-20 00:03:10 +0800, MAX6675, 30.318182
2017-09-20 00:03:34 +0800, MAX6675, 30.090910
2017-09-20 00:03:59 +0800, MAX6675, 30.295454
2017-09-20 00:04:23 +0800, MAX6675, 30.340910
2017-09-20 00:04:48 +0800, MAX6675, 30.113636
2017-09-20 00:05:12 +0800, MAX6675, 30.272728
2017-09-20 00:05:37 +0800, MAX6675, 30.090910
2017-09-20 00:06:01 +0800, MAX6675, 30.113636
2017-09-20 00:06:26 +0800, MAX6675, 30.250000
2017-09-20 00:06:50 +0800, MAX6675, 30.227272
2017-09-20 00:07:15 +0800, MAX6675, 29.977272
2017-09-20 00:07:39 +0800, MAX6675, 30.159090
2017-09-20 00:08:04 +0800, MAX6675, 30.295454
2017-09-20 00:08:28 +0800, MAX6675, 30.272728
2017-09-20 00:08:53 +0800, MAX6675, 30.227272
2017-09-20 00:09:17 +0800, MAX6675, 29.977272
2017-09-20 00:09:42 +0800, MAX6675, 30.068182
2017-09-20 00:10:06 +0800, MAX6675, 30.068182
2017-09-20 00:10:31 +0800, MAX6675, 30.227272
2017-09-20 00:10:55 +0800, MAX6675, 30.136364
2017-09-20 00:11:20 +0800, MAX6675, 30.090910
2017-09-20 00:11:44 +0800, MAX6675, 30.318182
2017-09-20 00:12:08 +0800, MAX6675, 30.295454
2017-09-20 00:12:33 +0800, MAX6675, 30.181818
2017-09-20 00:12:57 +0800, MAX6675, 30.159090
2017-09-20 00:13:22 +0800, MAX6675, 30.272728
2017-09-20 00:13:46 +0800, MAX6675, 30.204546
2017-09-20 00:14:11 +0800, MAX6675, 30.250000
2017-09-20 00:14:35 +0800, MAX6675, 30.204546
2017-09-20 00:15:00 +0800, MAX6675, 30.204546
2017-09-20 00:15:24 +0800, MAX6675, 30.136364
2017-09-20 00:15:49 +0800, MAX6675, 30.409090
2017-09-20 00:16:13 +0800, MAX6675, 30.431818
2017-09-20 00:16:38 +0800, MAX6675, 30.204546
2017-09-20 00:17:02 +0800, MAX6675, 30.227272
2017-09-20 00:17:27 +0800, MAX6675, 30.409090
2017-09-20 00:17:51 +0800, MAX6675, 30.386364
2017-09-20 00:18:16 +0800, MAX6675, 30.318182
2017-09-20 00:18:40 +0800, MAX6675, 30.318182
2017-09-20 00:19:05 +0800, MAX6675, 30.227272
2017-09-20 00:19:29 +0800, MAX6675, 30.295454
2017-09-20 00:19:54 +0800, MAX6675, 30.272728
2017-09-20 00:20:18 +0800, MAX6675, 30.386364
2017-09-20 00:20:43 +0800, MAX6675, 30.340910
2017-09-20 00:21:07 +0800, MAX6675, 30.409090
2017-09-20 00:21:32 +0800, MAX6675, 30.318182
2017-09-20 00:21:56 +0800, MAX6675, 30.454546
2017-09-20 00:22:21 +0800, MAX6675, 30.363636
2017-09-20 00:22:45 +0800, MAX6675, 30.386364
2017-09-20 00:23:10 +0800, MAX6675, 30.227272
2017-09-20 00:23:34 +0800, MAX6675, 30.295454
2017-09-20 00:23:59 +0800, MAX6675, 30.272728
2017-09-20 00:24:23 +0800, MAX6675, 30.386364
2017-09-20 00:24:47 +0800, MAX6675, 30.227272
2017-09-20 00:25:12 +0800, MAX6675, 30.113636
2017-09-20 00:25:36 +0800, MAX6675, 30.272728
2017-09-20 00:26:01 +0800, MAX6675, 30.272728
2017-09-20 00:26:25 +0800, MAX6675, 30.318182
2017-09-20 00:26:50 +0800, MAX6675, 30.318182
2017-09-20 00:27:14 +0800, MAX6675, 30.318182
2017-09-20 00:27:39 +0800, MAX6675, 30.250000
2017-09-20 00:28:03 +0800, MAX6675, 30.272728
2017-09-20 00:28:28 +0800, MAX6675, 30.272728
2017-09-20 00:28:52 +0800, MAX6675, 30.340910
2017-09-20 00:29:17 +0800, MAX6675, 30.340910
2017-09-20 00:29:41 +0800, MAX6675, 30.272728
2017-09-20 00:30:06 +0800, MAX6675, 30.318182
2017-09-20 00:30:30 +0800, MAX6675, 30.409090
2017-09-20 00:30:55 +0800, MAX6675, 30.477272
2017-09-20 00:31:19 +0800, MAX6675, 31.500000
2017-09-20 00:31:44 +0800, MAX6675, 32.477272
2017-09-20 00:32:08 +0800, MAX6675, 33.727272
2017-09-20 00:32:33 +0800, MAX6675, 35.477272
2017-09-20 00:32:57 +0800, MAX6675, 36.795456
2017-09-20 00:33:22 +0800, MAX6675, 38.227272
2017-09-20 00:33:46 +0800, MAX6675, 39.659092
2017-09-20 00:34:11 +0800, MAX6675, 40.840908
2017-09-20 00:34:35 +0800, MAX6675, 42.045456
2017-09-20 00:35:00 +0800, MAX6675, 43.250000
2017-09-20 00:35:24 +0800, MAX6675, 44.136364
2017-09-20 00:35:49 +0800, MAX6675, 44.840908
2017-09-20 00:36:13 +0800, MAX6675, 45.659092
2017-09-20 00:36:38 +0800, MAX6675, 46.318180
2017-09-20 00:37:02 +0800, MAX6675, 46.909092
2017-09-20 00:37:26 +0800, MAX6675, 47.500000
2017-09-20 00:37:51 +0800, MAX6675, 47.931820
2017-09-20 00:38:15 +0800, MAX6675, 48.181820
2017-09-20 00:38:40 +0800, MAX6675, 48.545456
2017-09-20 00:39:04 +0800, MAX6675, 48.977272
2017-09-20 00:39:29 +0800, MAX6675, 48.954544
2017-09-20 00:39:53 +0800, MAX6675, 49.318180
2017-09-20 00:40:18 +0800, MAX6675, 49.522728
2017-09-20 00:40:42 +0800, MAX6675, 49.613636
2017-09-20 00:41:07 +0800, MAX6675, 49.750000
2017-09-20 00:41:31 +0800, MAX6675, 49.863636
2017-09-20 00:41:56 +0800, MAX6675, 50.022728
2017-09-20 00:42:20 +0800, MAX6675, 50.022728
2017-09-20 00:42:45 +0800, MAX6675, 50.090908
2017-09-20 00:43:09 +0800, MAX6675, 50.363636
2017-09-20 00:43:34 +0800, MAX6675, 50.295456
2017-09-20 00:43:58 +0800, MAX6675, 50.272728
2017-09-20 00:44:23 +0800, MAX6675, 50.500000
2017-09-20 00:44:47 +0800, MAX6675, 50.409092
2017-09-20 00:45:12 +0800, MAX6675, 50.409092
2017-09-20 00:45:36 +0800, MAX6675, 50.500000
2017-09-20 00:46:01 +0800, MAX6675, 50.431820
2017-09-20 00:46:25 +0800, MAX6675, 50.522728
2017-09-20 00:46:50 +0800, MAX6675, 50.431820
2017-09-20 00:47:14 +0800, MAX6675, 50.409092
2017-09-20 00:47:39 +0800, MAX6675, 50.659092
2017-09-20 00:48:03 +0800, MAX6675, 50.659092
2017-09-20 00:48:28 +0800, MAX6675, 50.590908
2017-09-20 00:48:52 +0800, MAX6675, 50.431820
2017-09-20 00:49:16 +0800, MAX6675, 50.386364
2017-09-20 00:49:41 +0800, MAX6675, 50.477272
2017-09-20 00:50:05 +0800, MAX6675, 50.613636
2017-09-20 00:50:30 +0800, MAX6675, 50.477272
2017-09-20 00:50:54 +0800, MAX6675, 50.522728
2017-09-20 00:51:19 +0800, MAX6675, 50.545456
2017-09-20 00:51:43 +0800, MAX6675, 50.681820
2017-09-20 00:52:08 +0800, MAX6675, 50.681820
2017-09-20 00:52:32 +0800, MAX6675, 50.818180
2017-09-20 00:52:57 +0800, MAX6675, 50.818180
2017-09-20 00:53:21 +0800, MAX6675, 50.659092
2017-09-20 00:53:46 +0800, MAX6675, 50.613636
2017-09-20 00:54:10 +0800, MAX6675, 50.500000
2017-09-20 00:54:35 +0800, MAX6675, 50.590908
2017-09-20 00:54:59 +0800, MAX6675, 50.500000
2017-09-20 00:55:24 +0800, MAX6675, 50.227272
2017-09-20 00:55:48 +0800, MAX6675, 50.477272
2017-09-20 00:56:13 +0800, MAX6675, 50.454544
2017-09-20 00:56:37 +0800, MAX6675, 50.545456
2017-09-20 00:57:02 +0800, MAX6675, 50.568180
2017-09-20 00:57:26 +0800, MAX6675, 50.522728
2017-09-20 00:57:51 +0800, MAX6675, 50.590908
2017-09-20 00:58:15 +0800, MAX6675, 50.727272
2017-09-20 00:58:40 +0800, MAX6675, 50.590908
2017-09-20 00:59:04 +0800, MAX6675, 50.750000
2017-09-20 00:59:29 +0800, MAX6675, 50.704544
2017-09-20 00:59:53 +0800, MAX6675, 50.590908
2017-09-20 01:00:18 +0800, MAX6675, 50.659092
2017-09-20 01:00:42 +0800, MAX6675, 50.500000
2017-09-20 01:01:07 +0800, MAX6675, 50.522728
2017-09-20 01:01:31 +0800, MAX6675, 50.590908
2017-09-20 01:01:55 +0800, MAX6675, 50.704544
2017-09-20 01:02:20 +0800, MAX6675, 50.704544
2017-09-20 01:02:44 +0800, MAX6675, 50.613636
2017-09-20 01:03:09 +0800, MAX6675, 50.840908
2017-09-20 01:03:33 +0800, MAX6675, 50.863636
2017-09-20 01:03:58 +0800, MAX6675, 50.613636
2017-09-20 01:04:22 +0800, MAX6675, 50.750000
2017-09-20 01:04:47 +0800, MAX6675, 50.863636
2017-09-20 01:05:11 +0800, MAX6675, 50.840908
2017-09-20 01:05:36 +0800, MAX6675, 51.022728
2017-09-20 01:06:00 +0800, MAX6675, 50.886364
