DateTime, Sensor, Temperature (Celcius)
2017-10-05 00:00:24 +0800, MAX6675, 30.068182
2017-10-05 00:00:48 +0800, MAX6675, 30.045454
2017-10-05 00:01:13 +0800, MAX6675, 30.090910
2017-10-05 00:01:37 +0800, MAX6675, 30.159090
2017-10-05 00:02:02 +0800, MAX6675, 29.977272
2017-10-05 00:02:26 +0800, MAX6675, 30.250000
2017-10-05 00:02:51 +0800, MAX6675, 30.068182
2017-10-05 00:03:15 +0800, MAX6675, 30.136364
2017-10-05 00:03:40 +0800, MAX6675, 30.136364
2017-10-05 00:04:04 +0800, MAX6675, 30.113636
2017-10-05 00:04:29 +0800, MAX6675, 29.977272
2017-10-05 00:04:53 +0800, MAX6675, 30.068182
2017-10-05 00:05:18 +0800, MAX6675, 30.113636
2017-10-05 00:05:42 +0800, MAX6675, 30.022728
2017-10-05 00:06:07 +0800, MAX6675, 30.045454
2017-10-05 00:06:31 +0800, MAX6675, 30.022728
2017-10-05 00:06:56 +0800, MAX6675, 30.113636
2017-10-05 00:07:20 +0800, MAX6675, 30.204546
2017-10-05 00:07:45 +0800, MAX6675, 30.204546
2017-10-05 00:08:09 +0800, MAX6675, 30.113636
2017-10-05 00:08:34 +0800, MAX6675, 30.113636
2017-10-05 00:08:58 +0800, MAX6675, 30.204546
2017-10-05 00:09:23 +0800, MAX6675, 30.045454
2017-10-05 00:09:47 +0800, MAX6675, 30.000000
2017-10-05 00:10:12 +0800, MAX6675, 30.022728
2017-10-05 00:10:36 +0800, MAX6675, 30.113636
2017-10-05 00:11:01 +0800, MAX6675, 30.068182
2017-10-05 00:11:25 +0800, MAX6675, 30.113636
2017-10-05 00:11:49 +0800, MAX6675, 30.136364
2017-10-05 00:12:14 +0800, MAX6675, 30.136364
2017-10-05 00:12:38 +0800, MAX6675, 30.045454
2017-10-05 00:13:03 +0800, MAX6675, 30.159090
2017-10-05 00:13:27 +0800, MAX6675, 30.159090
2017-10-05 00:13:52 +0800, MAX6675, 30.181818
2017-10-05 00:14:16 +0800, MAX6675, 30.136364
2017-10-05 00:14:41 +0800, MAX6675, 29.977272
2017-10-05 00:15:05 +0800, MAX6675, 30.113636
2017-10-05 00:15:30 +0800, MAX6675, 30.068182
2017-10-05 00:15:54 +0800, MAX6675, 30.090910
2017-10-05 00:16:19 +0800, MAX6675, 30.000000
2017-10-05 00:16:43 +0800, MAX6675, 30.000000
2017-10-05 00:17:08 +0800, MAX6675, 30.045454
2017-10-05 00:17:32 +0800, MAX6675, 30.159090
2017-10-05 00:17:57 +0800, MAX6675, 30.090910
2017-10-05 00:18:21 +0800, MAX6675, 30.045454
2017-10-05 00:18:46 +0800, MAX6675, 30.159090
2017-10-05 00:19:10 +0800, MAX6675, 30.227272
2017-10-05 00:19:35 +0800, MAX6675, 30.227272
2017-10-05 00:19:59 +0800, MAX6675, 30.090910
2017-10-05 00:20:24 +0800, MAX6675, 30.181818
2017-10-05 00:20:48 +0800, MAX6675, 29.977272
2017-10-05 00:21:13 +0800, MAX6675, 30.136364
2017-10-05 00:21:37 +0800, MAX6675, 30.159090
2017-10-05 00:22:02 +0800, MAX6675, 30.090910
2017-10-05 00:22:26 +0800, MAX6675, 30.136364
2017-10-05 00:22:51 +0800, MAX6675, 30.113636
2017-10-05 00:23:15 +0800, MAX6675, 30.068182
2017-10-05 00:23:39 +0800, MAX6675, 30.181818
2017-10-05 00:24:04 +0800, MAX6675, 30.159090
2017-10-05 00:24:28 +0800, MAX6675, 30.000000
2017-10-05 00:24:53 +0800, MAX6675, 30.204546
